Year,Subject,Topic,Type,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Theory_Answer
2025,Computing,Internet,Objective,What standard internet utility program verifies the network connectivity and latency speed to a remote host computer?,Traceroute,FTP,Ping,NSLookup,C,
2024,Computing,Networking,Objective,Which parameter defines the maximum data transfer capacity rate across a designated communication channel?,Latency,Bandwidth,Throughput,Jitter,B,
2022,Computing,Presentation,Objective,Which layout feature sets the underlying background graphics and uniform color styles for an entire presentation deck?,Theme,Animation,Transition,Layout,A,
2025,Computing,Spreadsheet,Objective,What specific cell reference format locks the row parameter but lets the column index shift when copied?,$A$1,$A1,A$1,A1,C,
2023,Computing,Programming,Objective,What value is traditionally returned by an array index look-up if a developer requests the very first element?,1,0,–1,Null,B,
2026,Computing,Word Processing,Objective,Which word processor command moves an identical copy of selected text to the clipboard while leaving the source text intact?,Cut,Copy,Paste,Clear,B,
2025,Computing,Hardware,Objective,Which computer storage classification includes components like optical discs, magnetic tapes, and external solid-state drives?,Primary Storage,Secondary Storage,Cache Memory,Volatile Memory,B,
2024,Computing,Software,Objective,What specific classification describes system application programs that can be utilized for free over a trial period?,Freeware,Shareware,Proprietary,Open-Source,B,
2023,Computing,Security,Objective,What name is given to an army of malware-infected computers controlled remotely by a hacker to launch coordinated attacks?,Botnet,Wormhole,Trojan Grid,Spy Net,A,
2026,Computing,Database,Objective,Which database field attribute ensures that no two rows can contain the exact same entry value within that specific column?,Not Null,Unique,Primary Key,Foreign Key,B,
2025,Computing,Internet,Objective,Which cloud computing delivery framework offers a pre-configured coding environment for application development?,SaaS,IaaS,PaaS,DaaS,C,
2024,Computing,Networking,Objective,Which network type is specifically configured to span across a single metropolitan municipal boundary size?,LAN,MAN,WAN,PAN,B,
2022,Computing,Presentation,Objective,Which command inserts a clean structural matrix of horizontal rows and vertical cells directly into a slide?,Chart,SmartArt,Table,Shape,C,
2025,Computing,Spreadsheet,Objective,Which function evaluates a single expression condition and outputs one specified value if true and another if false?,AND,OR,IF,NOT,C,
2023,Computing,Programming,Objective,What is the name for the structural error checking process performed before code compiles into machine language?,Syntax Analysis,Logical Debugging,Runtime Evaluation,Semantic Trace,A,
2026,Computing,Word Processing,Objective,Which margin command sets up specialized facing pages for documents designed to be bound into books?,Normal Margins,Wide Margins,Mirror Margins,Narrow Margins,C,
2025,Computing,Hardware,Objective,Which peripheral component uses light reflection sensors to translate printed bar codes into digital inventory records?,Scanner,Barcode Reader,Digitizer,Plotter,B,
2024,Computing,Software,Objective,Which system component translates high-level source code line-by-line concurrently during actual software execution?,Compiler,Linker,Interpreter,Assembler,C,
2023,Computing,Security,Objective,What term describes an explicit security vulnerability in software code that is exploited before a patch is developed?,Trojan Horse,Zero-Day,Logic Bomb,Rootkit,B,
2026,Computing,Database,Objective,Which operational command removes all record rows from a table while keeping its structure and column definitions intact?,DROP,DELETE,TRUNCATE,REMOVE,C,
2025,Computing,Internet,Objective,Which protocol handles the automatic distribution of incoming electronic mail messages to user inboxes?,SMTP,POP3,HTTP,FTP,B,
2024,Computing,Networking,Objective,Which network topology layout connects every single node directly to every other node in the network framework?,Star Topology,Bus Topology,Ring Topology,Mesh Topology,D,
2022,Computing,Presentation,Objective,What shortcut key configuration activates the presentation slide show layout starting explicitly from the current slide?,F5,Shift + F5,Ctrl + F5,Alt + F5,B,
2025,Computing,Spreadsheet,Objective,Which functional tool helps users separate or filter data records based on exact drop-down matching criteria fields?,Sort,Pivot Table,Data Filter,Text to Columns,C,
2023,Computing,Programming,Objective,What specific structural term describes an object blueprint used to define data fields and operational methods in OOP?,Function,Class,Array,Constant,B,
2026,Computing,Word Processing,Objective,Which alignment property formats paragraph lines so they rest evenly against the right side margin page?,Left Align,Center,Right Align,Justify,C,
2025,Computing,Hardware,Objective,Which internal system component transforms standard alternating current building electricity into low-voltage direct current power?,SMPS,Motherboard,UPS,Processor,A,
2024,Computing,Software,Objective,What descriptive label describes software provided entirely free without charge or usage limitations under copyright restrictions?,Shareware,Freeware,Proprietary,Commercial,B,
2023,Computing,Security,Objective,Which specific technology forces automated website users to resolve simple text extraction puzzles to prove they are human?,OTP,MFA,CAPTCHA,Biometrics,C,
2026,Computing,Database,Objective,Which keyword is placed inside an SQL query statement to prevent duplicate entry values from showing in search outputs?,UNIQUE,DISTINCT,FILTER,EXCLUDE,B,
2025,Computing,Internet,Objective,What does the acronym HTML stand for in the context of standard website creation frameworks?,HyperText Multi Language,HyperText Markup Language,HyperTransmission Markup Link,HighTech Media Link,B,
2024,Computing,Networking,Objective,Which network device interfaces directly with a workstation computer system to enable network cable or wireless connectivity?,Router,Switch,Hub,NIC,D,
2022,Computing,Presentation,Objective,Which layout tool formats bulleted phrases into high-quality diagnostic visual flowcharts or cyclical diagrams automatically?,WordArt,SmartArt,Shapes,ClipArt,B,
2025,Computing,Spreadsheet,Objective,Which error code indicates that a spreadsheet lookup array cannot match or find the requested search query cell?,#VALUE!,#NAME?,#REF!,#N/A,D,
2023,Computing,Programming,Objective,What structural programming design method divides system execution paths into specialized self-contained modules or sub-routines?,Modularity,Inheritance,Encapsulation,Polymorphism,A,
2026,Computing,Word Processing,Objective,Which command allows an editor to highlight a text string and append hidden sidebar annotations for authors?,Bookmark,Hyperlink,Comment,Footnote,C,
2025,Computing,Hardware,Objective,Which storage drive metric evaluates the maximum volume of bytes an internal disk component can physically hold?,Bus Speed,Cache Size,Storage Capacity,RPM,C,
2024,Computing,Software,Objective,What label is applied to system drivers or framework fixes distributed to consumers during experimental post-development phases?,Alpha Version,Beta Version,Final Release,Patch,B,
2023,Computing,Security,Objective,Which hardware peripheral generates physical token authentication codes matching algorithmic master clocks to confirm identity?,Smart Card,Security Key,Authenticator,Biometric Scanner,C,
2026,Computing,Database,Objective,Which data language segment deals with security access privileges and database authorization structures?,DDL,DML,DCL,TCL,C,
2025,Computing,Internet,Objective,What system manages directory mapping records by linking human-readable web page domains to numerical network destination nodes?,DHCP,URL,DNS,NAT,C,
2024,Computing,Networking,Objective,Which diagnostic test track maps each intermediate router interface node a packet hops through across web channels?,Ping,Traceroute,Ipconfig,Netstat,B,
2022,Computing,Presentation,Objective,Which presentation view features separate text layouts displaying a sequential summary of slide text bullets without graphics?,Normal View,Slide Sorter View,Outline View,Notes View,C,
